CODGRUPO;GRUPO
1;TROTS
2;GIANCARLO
3;RONDINELLI
4;ARTHUR
5;JUNIOR
6;JOSE ROBERTO
7;FERNANDO
8;RAFAEL FABRICIO
9;ANDERSON
10;ECOMMERCE
11;JOAO GABRIEL
12;RHAIMISON
13;SILAS
14;CLAUDIO
15;KAIKE
16;MARCIO
17;GUSTAVO
18;MARIA BEATRIZ
19;PAULO
20;PEDRO
21;MARCOS
